Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,us_pred,us_traditional,Fai_pred,Fai_traditional,C_pred,C_traditional
2923.375,0,49.94627003,52.48,6.596076099,6.6,0.167297323,0.16,25.57481971,25.07,12.48091613,13.28
2923.5,0,50.77368511,52.18,6.622316438,6.62,0.166965988,0.16,25.52349369,25.33,12.76266975,13.22
2923.625,0,50.74010707,52.05,6.628233796,6.64,0.166965988,0.16,25.54799239,25.5,12.6931101,13.2
2923.75,0,50.63857977,52.21,6.6242406,6.65,0.166946936,0.16,25.6288843,25.5,12.66708269,13.23
2923.875,0,49.88160248,52.36,6.639076176,6.65,0.16684848,0.16,25.86863885,25.44,12.54929231,13.27
2924,0,49.88690929,52.22,6.63539519,6.64,0.166911595,0.16,25.87982201,25.44,12.53490178,13.23
2924.125,0,49.87488034,52.09,6.63539519,6.64,0.166911595,0.16,25.89338829,25.47,12.52714771,13.2
2924.25,0,49.90498526,52.31,6.640023578,6.64,0.166753405,0.16,25.87313167,25.42,12.56682126,13.25
2924.375,0,50.96815583,52.87,6.666497488,6.65,0.166405397,0.16,25.56155354,25.27,12.78799647,13.38
2924.5,0,51.16011539,53.52,6.666497488,6.66,0.166444234,0.16,25.5596037,25.09,12.8206375,13.53
2924.625,0,50.03054215,53.59,6.639337302,6.66,0.166780281,0.16,25.83416756,25.06,12.63387357,13.54
2924.75,0,49.91683648,52.97,6.639095485,6.65,0.167205689,0.16,25.84925897,25.22,12.57327068,13.4
2924.875,0,49.85210361,52.12,6.627319407,6.64,0.167235537,0.16,25.90166761,25.46,12.49708675,13.21
2925,0,49.77832287,51.85,6.626474453,6.65,0.167219022,0.16,25.96070808,25.61,12.47523173,13.15
2925.125,0,49.71766106,52.45,6.6665313,6.68,0.167070061,0.16,25.96504315,25.58,12.50241113,13.29
2925.25,0,50.69138808,53.36,6.696438535,6.71,0.166695821,0.16,25.68226058,25.47,12.62875314,13.51
2925.375,0,50.86604687,54.04,6.714806934,6.73,0.166699131,0.16,25.71509592,25.34,12.65575017,13.66
2925.5,0,50.02229089,53.9,6.671013005,6.71,0.166979242,0.16,25.88782029,25.3,12.47193442,13.63
2925.625,0,49.67892963,52.82,6.666687976,6.68,0.167204505,0.16,26.03029084,25.46,12.44523322,13.38
2925.75,0,49.44628389,51.59,6.656507201,6.65,0.16718911,0.16,26.03109585,25.72,12.46264695,13.09
2925.875,0,49.68199384,51.34,6.628587403,6.64,0.167193654,0.16,26.05293844,25.77,12.48862875,13.04
2926,0,49.72370776,51.89,6.635734641,6.65,0.167075317,0.16,26.0364283,25.62,12.49631099,13.16
2926.125,0,49.84847663,52.24,6.632986312,6.65,0.16715074,0.16,26.05906168,25.51,12.50182775,13.24
2926.25,0,49.74250941,52,6.632144347,6.65,0.167039175,0.16,26.07620108,25.61,12.49520013,13.19
2926.375,0,49.40877656,52.17,6.661720453,6.68,0.167149626,0.16,26.30772755,25.7,12.44965121,13.23
2926.5,0,49.36830819,52.92,6.67228037,6.73,0.167039669,0.16,26.44716808,25.73,12.4243881,13.41
2926.625,0,50.1800497,53.37,6.69936423,6.77,0.166841603,0.16,26.2959145,25.81,12.52812048,13.52
2926.75,0,50.28336851,53.23,6.707158396,6.77,0.166850278,0.16,26.26280872,25.88,12.55286494,13.49
2926.875,0,50.3385108,52.91,6.69025489,6.74,0.166841603,0.16,26.27207762,25.81,12.58204703,13.41
2927,0,49.45505904,52.77,6.651715261,6.7,0.167017156,0.16,26.36290877,25.6,12.4387814,13.37
2927.125,0,49.60981163,52.68,6.64041277,6.66,0.167210893,0.16,26.18125307,25.42,12.48838916,13.34
2927.25,0,49.73896189,52.57,6.636079446,6.65,0.167487916,0.16,26.17639211,25.39,12.5209012,13.31
2927.375,0,49.84276081,52.38,6.635748722,6.66,0.167904453,0.16,26.15921221,25.49,12.52086928,13.27
2927.5,0,49.59722598,52.19,6.63314693,6.67,0.167911958,0.16,26.12185248,25.64,12.50030944,13.23
2927.625,0,49.53805233,52.32,6.635326511,6.69,0.167955678,0.16,26.16276185,25.7,12.4457822,13.27
2927.75,0,49.76908488,52.64,6.63618164,6.71,0.167818842,0.16,26.09376932,25.69,12.44151292,13.34
2927.875,0,49.42291996,52.86,6.649036875,6.71,0.167818288,0.16,26.24651586,25.66,12.41000865,13.39
2928,0,49.40369195,52.52,6.63639456,6.7,0.167849738,0.16,26.30017582,25.67,12.42730229,13.31
2928.125,0,49.40177938,51.79,6.627056129,6.66,0.167911458,0.16,26.23355935,25.7,12.4747435,13.14
2928.25,0,49.21173747,51.24,6.565954236,6.62,0.168215033,0.16,26.24740451,25.67,12.44744859,13.01
2928.375,0,49.3104791,51.07,6.570527295,6.61,0.167678162,0.16,26.26970011,25.66,12.47630336,12.97
2928.5,0,49.41948262,51.17,6.568893982,6.62,0.167452727,0.16,26.25605005,25.71,12.46051897,12.99
2928.625,0,49.59922751,51.64,6.636319592,6.67,0.167065645,0.16,26.43275448,25.81,12.48509332,13.11
2928.75,0,49.38896955,52.58,6.641645082,6.73,0.167466814,0.16,26.52542723,25.84,12.39523758,13.33
2928.875,0,48.9752536,53.63,6.643307479,6.78,0.16722922,0.16,26.65911485,25.78,12.35479163,13.58
2929,0,49.44795932,54.18,6.691773386,6.8,0.166869278,0.16,26.4612492,25.71,12.43350474,13.71
2929.125,0,50.314545,53.88,6.670214799,6.78,0.166894516,0.16,26.35576749,25.69,12.57686452,13.63
2929.25,0,50.48490861,53.19,6.671632851,6.74,0.166937156,0.16,26.34466208,25.72,12.63313168,13.47
2929.375,0,49.59152595,52.72,6.651982718,6.72,0.167331237,0.16,26.29758131,25.73,12.45387394,13.36
2929.5,0,49.3364653,52.71,6.643735892,6.72,0.167007461,0.16,26.45811178,25.75,12.42178494,13.36
2929.625,0,49.14164412,53.21,6.643735892,6.75,0.167025352,0.16,26.49298926,25.77,12.38390955,13.48
2929.75,0,49.10588999,53.99,6.646032182,6.79,0.167330422,0.16,26.3840509,25.71,12.39296513,13.66
2929.875,0,49.4459501,54.35,6.680714489,6.8,0.166988954,0.16,26.31633305,25.67,12.41831551,13.74
2930,0,49.98513779,53.88,6.669448934,6.8,0.166942419,0.16,26.31532678,25.79,12.53196371,13.64
2930.125,0,50.15722861,53.25,6.66797675,6.78,0.166636759,0.16,26.32060167,25.93,12.5520796,13.5
2930.25,0,50.18167577,53.44,6.695108209,6.78,0.166593943,0.16,26.292298,25.85,12.5699342,13.54
2930.375,0,50.46216463,54.04,6.68641053,6.77,0.166812064,0.16,26.1821348,25.6,12.63335796,13.67
2930.5,0,50.6793074,54.15,6.687345894,6.76,0.166873339,0.16,26.04673883,25.47,12.67439212,13.69
2930.625,0,50.69706874,53.4,6.682077872,6.73,0.166873339,0.16,26.13048144,25.58,12.64047478,13.52
2930.75,0,49.49860072,52.71,6.650019471,6.71,0.166975339,0.16,26.47690831,25.72,12.40822236,13.36
2930.875,0,49.34265035,52.94,6.654442934,6.72,0.167202617,0.16,26.58757709,25.69,12.3956915,13.41
2931,0,49.04990094,54.04,6.649966803,6.77,0.167091854,0.16,26.53092054,25.59,12.30368723,13.67
